#queryIndex	queryItem	stringId	preferredName	annotation
1	ADORA2B	9606.ENSP00000304501	ADORA2B	Adenosine receptor A2b; Receptor for adenosine. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.
2	AHDC1	9606.ENSP00000363123	AHDC1	AT-hook DNA-binding motif-containing protein 1; AT-hook DNA binding motif containing 1.
3	APBB2	9606.ENSP00000427211	APBB2	Amyloid-beta A4 precursor protein-binding family B member 2; May modulate the internalization of amyloid-beta precursor protein.
4	APOOL	9606.ENSP00000362268	APOOL	MICOS complex subunit MIC27; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. Specifically binds to cardiolipin (in vitro) but not to the precursor lipid phosphatidylglycerol. Plays a crucial role in crista junction formation and mitochondrial function.
5	ARL4C	9606.ENSP00000339754	ARL4C	ADP-ribosylation factor-like protein 4C; Small GTP-binding protein which cycles between an inactive GDP-bound and an active GTP-bound form, and the rate of cycling is regulated by guanine nucleotide exchange factors (GEF) and GTPase- activating proteins (GAP). GTP-binding protein that does not act as an allosteric activator of the cholera toxin catalytic subunit. May be involved in transport between a perinuclear compartment and the plasma membrane, apparently linked to the ABCA1-mediated cholesterol secretion pathway. Recruits CYTH1, CYTH2, CYTH3 and CYTH4 to the plasma membrane in th [...] 
6	ARMC8	9606.ENSP00000419413	ARMC8	Armadillo repeat-containing protein 8; Component of the CTLH E3 ubiquitin-protein ligase complex that selectively accepts ubiquitin from UBE2H and mediates ubiquitination and subsequent proteasomal degradation of the transcription factor HBP1.
7	ARSB	9606.ENSP00000264914	ARSB	Arylsulfatase B; Removes sulfate groups from chondroitin-4-sulfate (C4S) and regulates its degradation. Involved in the regulation of cell adhesion, cell migration and invasion in colonic epithelium. In the central nervous system, is a regulator of neurite outgrowth and neuronal plasticity, acting through the control of sulfate glycosaminoglycans and neurocan levels (By similarity). Belongs to the sulfatase family.
8	ATP6V1A	9606.ENSP00000273398	ATP6V1A	V-type proton ATPase catalytic subunit A; Catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation. May play a role in neurite development and synaptic connectivity ; Belongs to the ATPase alpha/beta chains family.
9	BAZ2B	9606.ENSP00000376534	BAZ2B	Bromodomain adjacent to zinc finger domain protein 2B; May play a role in transcriptional regulation interacting with ISWI; Belongs to the WAL family.
10	BCL2L1	9606.ENSP00000365230	BCL2L1	Bcl-2-like protein 1; Potent inhibitor of cell death. Inhibits activation of caspases. Appears to regulate cell death by blocking the voltage- dependent anion channel (VDAC) by binding to it and preventing the release of the caspase activator, CYC1, from the mitochondrial membrane. Also acts as a regulator of G2 checkpoint and progression to cytokinesis during mitosis. Isoform Bcl-X(S) promotes apoptosis.
11	BEX2	9606.ENSP00000442521	BEX2	Protein BEX2; Regulator of mitochondrial apoptosis and G1 cell cycle in breast cancer. Protects the breast cancer cells against mitochondrial apoptosis and this effect is mediated through the modulation of BCL2 protein family, which involves the positive regulation of anti- apoptotic member BCL2 and the negative regulation of pro-apoptotic members BAD, BAK1 and PUMA. Required for the normal cell cycle progression during G1 in breast cancer cells through the regulation of CCND1 and CDKN1A. Regulates the level of PP2A regulatory subunit B and PP2A phosphatase activity; Belongs to the BEX [...] 
12	BIRC3	9606.ENSP00000263464	BIRC3	Baculoviral IAP repeat-containing protein 3; Multi-functional protein which regulates not only caspases and apoptosis, but also modulates inflammatory signaling and immunity, mitogenic kinase signaling and cell proliferation, as well as cell invasion and metastasis. Acts as an E3 ubiquitin-protein ligase regulating NF-kappa-B signaling and regulates both canonical and non- canonical NF-kappa-B signaling by acting in opposite directions: acts as a positive regulator of the canonical pathway and suppresses constitutive activation of non-canonical NF-kappa-B signaling. The target proteins [...] 
13	CAMK2N1	9606.ENSP00000364219	CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1; Potent and specific inhibitor of CaM-kinase II (CAMK2). Belongs to the CAMK2N family.
14	CASP3	9606.ENSP00000311032	CASP3	Caspase-3 subunit p12; Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop-helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage.
15	CDK17	9606.ENSP00000261211	CDK17	Cyclin-dependent kinase 17; May play a role in terminally differentiated neurons. Has a Ser/Thr-phosphorylating activity for histone H1 (By similarity). Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily.
16	CERS6	9606.ENSP00000376453	CERS6	Ceramide synthase 6; Ceramide synthase that catalyzes formation of ceramide from sphinganine and acyl-CoA substrates, with high selectivity toward palmitoyl-CoA (hexadecanoyl-CoA; C16:0-CoA) as acyl donor. Can use other acyl donors, but with less efficiency (By similarity). Ceramides generated by CERS6 play a role in inflammatory response (By similarity). Acts as a regulator of metabolism and hepatic lipid accumulation (By similarity). Under high fat diet, palmitoyl- (C16:0-) ceramides generated by CERS6 specifically bind the mitochondrial fission factor MFF, thereby promoting mitochon [...] 
17	CFLAR	9606.ENSP00000312455	CFLAR	CASP8 and FADD-like apoptosis regulator subunit p12; Apoptosis regulator protein which may function as a crucial link between cell survival and cell death pathways in mammalian cells. Acts as an inhibitor of TNFRSF6 mediated apoptosis. A proteolytic fragment (p43) is likely retained in the death-inducing signaling complex (DISC) thereby blocking further recruitment and processing of caspase-8 at the complex. Full length and shorter isoforms have been shown either to induce apoptosis or to reduce TNFRSF-triggered apoptosis. Lacks enzymatic (caspase) activity. Belongs to the peptidase C1 [...] 
